[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000313s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000392s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000247s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000341s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001367s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001002s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001027s ]
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000469s ]
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000529s ]
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000418s ]
[ 2018-04-17T09:00:18+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000460s ]
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.000699s ]
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000747s ]
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000333s ]
[ 2018-04-17T09:00:21+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000361s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.000130s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000579s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000609s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004331s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004362s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000240s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000391s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000177s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000291s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001175s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000923s ]
[ 2018-04-17T09:00:22+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000951s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000764s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000854s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000597s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000642s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000635s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000676s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 128 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 141 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 368 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 369 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 370 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 373 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 375 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | NOTIC: [8] Undefined variable: pager 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 384 行.
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009726s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009764s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000355s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000498s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000199s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000311s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001449s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001372s ]
[ 2018-04-17T09:00:28+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001414s ]
[ 2018-04-17T09:07:14+08:00 ] /index.php/index/index | ERR: (ThinkException) 无法加载模块index
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000769s ]
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000814s ]
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000439s ]
[ 2018-04-17T09:07:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000466s ]
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.000489s ]
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000533s ]
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000331s ]
[ 2018-04-17T09:07:28+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000358s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.000114s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000782s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000810s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004368s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004399s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000298s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000422s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000299s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000464s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001554s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001174s ]
[ 2018-04-17T09:07:29+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001201s ]
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000744s ]
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000911s ]
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000366s ]
[ 2018-04-17T09:07:39+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000394s ]
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.000564s ]
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000614s ]
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000383s ]
[ 2018-04-17T09:07:41+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000415s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.000140s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000561s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000592s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004540s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004572s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000253s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000407s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000188s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000300s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001232s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000967s ]
[ 2018-04-17T09:07:42+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000998s ]
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000494s ]
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000541s ]
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000348s ]
[ 2018-04-17T09:07:48+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000376s ]
[ 2018-04-17T09:07:49+08:00 ] /index.php/Admin/Admin/checkLogin | SQL: SELECT COUNT(*) AS tp_count FROM `admin` WHERE username='shinkan' and password='shinkan' LIMIT 1   [ RunTime:0.000337s ]
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000468s ]
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000511s ]
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000424s ]
[ 2018-04-17T09:07:53+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000479s ]
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.000496s ]
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000539s ]
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000328s ]
[ 2018-04-17T09:07:55+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000355s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.000101s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000556s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000583s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004782s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004822s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.000243s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.000379s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000170s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000273s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001142s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000889s ]
[ 2018-04-17T09:07:56+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000914s ]
[ 2018-04-17T09:08:01+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:08:01+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000604s ]
[ 2018-04-17T09:08:01+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000652s ]
[ 2018-04-17T09:08:01+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:08:01+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000342s ]
