[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000815s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.001045s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004603s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001421s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.001468s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.000873s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.000929s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000510s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000548s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000912s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.000962s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.007307s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007353s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000407s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000459s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000361s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000482s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001812s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000481s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000513s ]
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ route_check ] --START--
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Run CheckRoute Behavior [ RunTime:0.000965s ]
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001066s ]
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000547s ]
[ 2018-04-16T06:16:29+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000613s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Category/test2 | SQL: SHOW COLUMNS FROM `tp_bitcharray` [ RunTime:0.015780s ]
[ 2018-04-16T06:16:30+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`name`,`content`,`cid`) VALUES ('sao1','zhensao',1) [ RunTime:0.130604s ]
[ 2018-04-16T06:16:31+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`id`,`name`,`content`,`cid`) VALUES (40,'sao2','zhensao',1) [ RunTime:0.074925s ]
[ 2018-04-16T06:16:31+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`name`,`content`,`cid`) VALUES ('sao3','zhensao',1) [ RunTime:0.108382s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.010736s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.010791s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009876s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009910s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005571s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005610s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.031147s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031186s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000874s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.008926s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001671s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000808s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012374s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.008573s ]
[ 2018-04-16T10:49:49+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.008611s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000769s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000832s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000598s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000628s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000982s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001023s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined index: username 9be1047bb7a563f25d2f04755fc1a79b.php 第 16 行.
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined variable: qx 9be1047bb7a563f25d2f04755fc1a79b.php 第 17 行.
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.021961s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021991s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run ContentReplace Behavior [ RunTime:0.000676s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run TokenBuild Behavior [ RunTime:0.001550s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001260s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.000989s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004871s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000635s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000670s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.000833s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.000880s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000556s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000596s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000833s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.000880s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.007926s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007968s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000498s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.001173s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000335s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000573s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002696s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000508s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000539s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run CheckRoute Behavior [ RunTime:0.004233s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --END-- [ RunTime:0.004386s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000911s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run LocationTemplate Behavior [ RunTime:0.001061s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --END-- [ RunTime:0.001112s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run ParseTemplate Behavior [ RunTime:0.008586s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008651s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run ContentReplace Behavior [ RunTime:0.000472s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run TokenBuild Behavior [ RunTime:0.000435s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000402s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowRuntime Behavior [ RunTime:0.000429s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001837s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowPageTrace Behavior [ RunTime:0.000885s ]
[ 2018-04-16T10:49:50+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --END-- [ RunTime:0.000924s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000696s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000743s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000557s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000585s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000817s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000846s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.005380s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005410s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000442s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000454s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000387s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000521s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001877s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000505s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000529s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.000500s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.000542s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003958s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004001s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.001121s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.001161s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.009682s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009757s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000382s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000494s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000202s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000303s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001479s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000341s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000374s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run CheckRoute Behavior [ RunTime:0.004620s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --END-- [ RunTime:0.004797s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000676s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000717s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run LocationTemplate Behavior [ RunTime:0.000507s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --END-- [ RunTime:0.000609s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run ParseTemplate Behavior [ RunTime:0.005315s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006154s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run ContentReplace Behavior [ RunTime:0.000296s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run TokenBuild Behavior [ RunTime:0.000429s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000261s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowRuntime Behavior [ RunTime:0.000305s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001386s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowPageTrace Behavior [ RunTime:0.000320s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --END-- [ RunTime:0.000349s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Run CheckRoute Behavior [ RunTime:0.001657s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.001711s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007456s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007506s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --START--
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.001127s ]
[ 2018-04-16T10:51:26+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001191s ]
